1067,Regulatory Review and Sunset Act of 2015,2015-04-23,2015-05-15,"Referred to the Subcommittee on Regulatory Reform, Commercial And Antitrust Law."
1068,A bill to amend the Federal Power Act to protect the bulk-power system from cyber security threats.,2015-04-23,2016-09-08,Conference held.
1069,Complete America's Great Trails Act,2015-04-23,2015-04-23,Read twice and referred to the Committee on Finance.
107,Terminating the Expansion of Too-Big-To-Fail Act of 2015,2015-01-07,2015-01-07,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs."
1070,GI Education Benefit Fairness Act of 2015,2015-04-23,2015-04-23,Read twice and referred to the Committee on Veterans' Affairs. (text of measure as introduced: CR S2403)
1071,Fairness for Victims of Crime Act of 2015,2015-04-23,2015-04-23,Read twice and referred to the Committee on the Judiciary.
1072,Supreme Court Ethics Act of 2015,2015-04-23,2015-05-15,"Referred to the Subcommittee on Courts, Intellectual Property, and the Internet."
1073,"S. 1073, Stopping Improper Payments to Deceased People Act",2015-04-23,2016-05-09,Placed on Senate Legislative Calendar under General Orders. Calendar No. 456.
1074,National Scenic Trails Parity Act,2015-04-23,2015-04-23,Read twice and referred to the Committee on Energy and Natural Resources.
1075,FIT Kids Act,2015-04-23,2015-04-23,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
1076,Smartphone Theft Prevention Act of 2015,2015-04-23,2015-04-24,Referred to the Subcommittee on Communications and Technology.
1077,Advancing Breakthrough Devices for Patients Act of 2016,2015-04-23,2016-04-05,Placed on Senate Legislative Calendar under General Orders. Calendar No. 412.
1078,Healthy Kids Outdoors Act of 2015,2015-04-23,2015-05-26,Referred to the Subcommittee on Federal Lands.
1079,SCREEN Act of 2015,2015-04-23,2015-05-13,Referred to the Subcommittee on Health.
108,Financial Aid Simplification and Transparency Act of 2015,2015-01-07,2015-01-07,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions. (Sponsor introductory remarks on measure: CR S61-62, S65)"
1080,Protect Marriage from the Courts Act of 2015,2015-04-23,2015-04-23,Read twice and referred to the Committee on the Judiciary.
1081,Refuge from Cruel Trapping Act,2015-04-23,2015-05-26,Referred to the Subcommittee on Federal Lands.
1082,Department of Veterans Affairs Accountability Act of 2015,2015-04-23,2015-11-03,By Senator Isakson from Committee on Veterans' Affairs filed written report. Report No. 114-163. Minority views filed.
1083,Medicare Drug Savings Act of 2015,2015-04-23,2015-04-23,Read twice and referred to the Committee on Finance.
1084,PCAOB Enforcement Transparency Act of 2015,2015-04-23,2015-04-23,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs. (Sponsor introductory remarks on measure:CR S2405)"
1085,Military and Veteran Caregiver Services Improvement Act of 2015,2015-04-23,2015-08-13,Referred to the Subcommittee on Military Personnel.
1086,International Insurance Capital Standards Accountability Act of 2015,2015-04-27,2015-07-30,Placed on Senate Legislative Calendar under General Orders. Calendar No. 176.
1087,Pets on Trains Act of 2015,2015-04-27,2015-02-04,"Referred to the Subcommittee on Railroads, Pipelines, and Hazardous Materials."
1088,Voter Registration Modernization Act,2015-04-27,2015-04-27,Read twice and referred to the Committee on Rules and Administration.
1089,Social Impact Partnership Act,2015-04-27,2015-03-19,Referred to the Subcommittee on Health.
109,Enumerated Powers Act,2015-01-07,2015-01-07,Read twice and referred to the Committee on Rules and Administration.
1090,"S. 1090, Emergency Information Improvement Act of 2015",2015-04-27,2015-12-18,Became Public Law No: 114-111.
1091,A bill for the relief of Alfredo Plascencia Lopez.,2015-04-27,2015-04-27,Read twice and referred to the Committee on the Judiciary.
1092,"A bill for the relief of Ruben Mkoian, Asmik Karapetian, and Arthur Mkoyan.",2015-04-27,2015-04-27,Read twice and referred to the Committee on the Judiciary.
1093,"A bill for the relief of Jose Alberto Martinez Moreno, Micaela Lopez Martinez, and Adilene Martinez.",2015-04-27,2015-04-27,Read twice and referred to the Committee on the Judiciary.
1094,A bill for the relief of Javier Lopez-Urenda and Maria Leticia Arenas.,2015-04-27,2015-04-27,Read twice and referred to the Committee on the Judiciary.
1095,A bill for the relief of Jorge Rojas Gutierrez and Oliva Gonzalez Gonzalez.,2015-04-27,2015-04-27,Read twice and referred to the Committee on the Judiciary.
1096,A bill for the relief of Joseph Gabra and Sharon Kamel.,2015-04-27,2015-04-27,Read twice and referred to the Committee on the Judiciary.
1097,A bill for the relief of Alicia Aranda De Buendia.,2015-04-27,2015-04-27,Read twice and referred to the Committee on the Judiciary.
1098,"A bill for the relief of Esidronio Arreola-Saucedo, Maria Elna Cobian Arreola, Nayely Arreola Carlos, and Cindy Jael Arreola.",2015-04-27,2015-04-27,Read twice and referred to the Committee on the Judiciary.
1099,PACE Act,2015-04-27,2015-10-07,Became Public Law No: 114-60.
11,ENFORCE the Law Act of 2015,2015-01-06,2015-01-06,Read twice and referred to the Committee on the Judiciary.
110,Environmental Protection Agency Accountability Act of 2015,2015-01-07,2015-01-26,"Referred to the Subcommittee on Biotechnology, Horticulture, and Research."
1100,Prescribed Burn Approval Act of 2015,2015-04-27,2016-09-23,Referred to the Subcommittee on Conservation and Forestry.
1101,MEDTECH Act,2015-04-27,2016-04-04,Placed on Senate Legislative Calendar under General Orders. Calendar No. 409.
1102,Protect Student Borrowers Act of 2015,2015-04-27,2015-11-16,Referred to the Subcommittee on Higher Education and Workforce Training.
1103,A bill to reinstate and extend the deadline for commencement of construction of a hydroelectric project involving Clark Canyon Dam.,2015-04-27,2015-09-09,Placed on Senate Legislative Calendar under General Orders. Calendar No. 212.
1104,A bill to extend the deadline for commencement of construction of a hydroelectric project involving the Gibson Dam.,2015-04-27,2015-09-09,Placed on Senate Legislative Calendar under General Orders. Calendar No. 213.
1105,"A bill to amend title 38, United States Code, to authorize per diem payments under comprehensive service programs for homeless veterans to furnish care to dependents of homeless veterans, and for other purposes.",2015-04-28,2015-06-03,Committee on Veterans' Affairs. Hearings held.
1106,"Go to High School, Go to College Act of 2015",2015-04-28,2015-11-16,Referred to the Subcommittee on Higher Education and Workforce Training.
1107,Fluke Fairness Act of 2015,2015-04-28,2015-04-28,"Read twice and referred to the Committee on Commerce, Science, and Transportation."
1108,Stanley Cooper Death Benefits for Court Security Officers Act,2015-04-28,2015-04-28,Read twice and referred to the Committee on the Judiciary. (text of measure as introduced: CR S2476)
1109,Truth in Settlements Act of 2015,2015-04-28,2015-09-21,Amendment SA 2668 agreed to in Senate by Unanimous Consent.
111,Protect America's Cities from Government Blacklist Act of 2015,2015-01-07,2015-01-07,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.
1110,National Forest System Trails Stewardship Act,2015-04-28,2015-07-16,"Committee on Agriculture, Nutrition, and Forestry. Hearings held."
1111,Public Power Risk Management Act of 2015,2015-04-28,2015-06-10,"Received in the Senate and Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry."
1112,Protecting America's Workers Act,2015-04-28,2015-04-29,Referred to the Subcommittee on Workforce Protections.
1113,"A bill to amend title 28, United States Code, to remand certain civil actions transferred by the judicial panel on multidistrict litigation.",2015-04-28,2015-04-28,Read twice and referred to the Committee on the Judiciary.
1114,TRACK Act,2015-04-28,2015-04-29,"Referred to the Subcommittee on Railroads, Pipelines, and Hazardous Materials."
1115,"S. 1115, GONE Act",2015-04-28,2015-09-29,Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.
1116,Freedom from Government Competition Act,2015-04-28,2015-04-28,Referred to the House Committee on Oversight and Government Reform.
1117,Ensuring Veteran Safety Through Accountability Act of 2015,2015-04-28,2015-06-24,Committee on Veterans' Affairs. Hearings held.
1118,National Defense Authorization Act for Fiscal Year 2016,2015-04-28,2015-04-28,Read twice and referred to the Committee on Armed Services. (Sponsor introductory remarks on measure:CR S2478)
1119,National Criminal Justice Commission Act of 2015,2015-04-28,2015-06-26,"Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations."
112,Common Sense in Species Protection Act of 2015,2015-01-07,2015-04-29,Referred to the House Committee on Natural Resources.
1120,"A bill to make aliens associated with a criminal gang inadmissible, deportable, and ineligible for various forms of relief.",2015-04-28,2016-04-28,Referred to the Subcommittee on Immigration and Border Security.
1121,PAST Act,2015-04-28,2015-07-31,"Referred to the Subcommittee on Commerce, Manufacturing, and Trade."
1122,Court Legal Access and Student Support (CLASS) Act of 2015,2015-04-28,2015-06-26,"Referred to the Subcommittee on Regulatory Reform, Commercial And Antitrust Law."
1123,USA FREEDOM Act of 2015,2015-04-28,2015-04-28,Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure:CR S2772-2773)
1124,WIOA Technical Amendments Act,2015-04-28,2015-05-22,Became Public Law No: 114-18.
1125,Blackfeet Water Rights Settlement Act of 2015,2015-04-28,2016-11-16,Ordered to be Reported (Amended) by Unanimous Consent.
1126,State Partnership Program Enhancement Act of 2015,2015-04-29,2015-04-29,Read twice and referred to the Committee on Armed Services.
1127,Stop Subsidizing Multimillion Dollar Corporate Bonuses Act,2015-04-29,2015-04-29,Referred to the House Committee on Ways and Means.
1128,Early Pell Promise Act,2015-04-29,2016-03-23,Referred to the Subcommittee on Higher Education and Workforce Training.
1129,Tobacco Tax and Enforcement Reform Act,2015-04-29,2015-04-13,Referred to the House Committee on Ways and Means.
113,Public Land Job Creation Act of 2015,2015-01-07,2015-01-07,Read twice and referred to the Committee on Energy and Natural Resources.
1130,Legal Justice for Servicemembers Act of 2015,2015-04-29,2015-08-13,Referred to the Subcommittee on Military Personnel.
1131,Medicare Diabetes Prevention Act of 2015,2015-04-29,2015-04-29,Read twice and referred to the Committee on Finance.
1132,Registered Nurse Safe Staffing Act of 2015,2015-04-29,2015-05-14,Referred to the Subcommittee on Health.
1133,Arbitration Fairness Act of 2015,2015-04-29,2015-06-26,"Referred to the Subcommittee on Regulatory Reform, Commercial And Antitrust Law."
1134,"Heroin and Prescription Opioid Abuse Prevention, Education, and Enforcement Act of 2015",2015-04-29,2015-04-29,Read twice and referred to the Committee on the Judiciary.
1135,Hospital Payment Fairness Act of 2015,2015-04-29,2015-04-29,Read twice and referred to the Committee on Finance.
1136,"A bill relating to the modernization of C-130 aircraft to meet applicable regulations of the Federal Aviation Administration, and for other purposes.",2015-04-29,2015-04-29,Read twice and referred to the Committee on Armed Services.
1137,Patents for Humanity Program Improvement Act,2015-04-29,2016-02-25,Committee on Small Business and Entrepreneurship. Hearings held. Hearings printed: S.Hrg. 114-603.
1138,RESET Act,2015-04-29,2015-04-29,Read twice and referred to the Committee on the Judiciary.
1139,Same Day Registration Act,2015-04-30,2015-04-29,Referred to the Subcommittee on Higher Education and Workforce Training.
114,Veterans Affairs Research Transparency Act of 2015,2015-01-07,2015-06-03,Committee on Veterans' Affairs. Hearings held.
1140,Federal Water Quality Protection Act,2015-04-30,2015-11-03,Motion to proceed to consideration of measure withdrawn in Senate. (consideration: CR S7697)
1141,Small Business Tax Certainty and Growth Act of 2015,2015-04-30,2015-04-30,Read twice and referred to the Committee on Finance. (Sponsor introductory remarks on measure: CR S2571-2572)
1142,Native Species Protection Act,2015-04-30,2015-04-30,Read twice and referred to the Committee on Environment and Public Works.
1143,"S. 1143, West Coast Dungeness Crab Management Act",2015-04-30,2015-10-07,"Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation."
1144,Federal Employees Sustainable Investment Act,2015-04-30,2015-04-30,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.
1145,Robert C. Byrd Mine Safety Protection Act of 2015,2015-04-30,2015-04-30,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
1146,Healthy School Meals Flexibility Act,2015-04-30,2015-11-16,"Referred to the Subcommittee on Early Childhood, Elementary, and Secondary Education."
1147,"A bill to designate the Federal building and United States courthouse located at 83 Meeting Street in Charleston, South Carolina, as the ""J. Waties Waring Judicial Center"".",2015-04-30,2015-04-30,Read twice and referred to the Committee on Environment and Public Works.
1148,Resident Physician Shortage Reduction Act of 2015,2015-04-30,2015-04-30,Read twice and referred to the Committee on Finance.
1149,"A bill to amend title XVIII of the Social Security Act to require reporting of certain data by providers and suppliers of air ambulance services for purposes of reforming reimbursements for such services under the Medicare program, and for other purposes.",2015-04-30,2015-02-27,Referred to the Subcommittee on Health.
115,Transparency in Small Business Assistance Act,2015-01-07,2015-01-07,Read twice and referred to the Committee on Small Business and Entrepreneurship.
1150,Raise the Wage Act,2015-04-30,2015-11-16,Referred to the Subcommittee on Workforce Protections.
1151,USPSTF Transparency and Accountability Act of 2015,2015-04-30,2015-03-27,Referred to the Subcommittee on Health.
1152,Foreclosure Relief and Extension for Servicemembers Act of 2015,2015-04-30,2015-12-01,"Placed on the Union Calendar, Calendar No. 273."
1153,Red River Private Property Protection Act,2015-04-30,2015-04-30,Read twice and referred to the Committee on Energy and Natural Resources. (text of measure as introduced: CR S2572-2573)
1154,Subsistence Access Management Act of 2015,2015-04-30,2015-07-22,Subcommittee Hearings Held.
1155,Geothermal Exploration and Technology Act of 2015,2015-04-30,2015-05-19,Committee on Energy and Natural Resources. Hearings held.
1156,Protecting Employees and Retirees in Business Bankruptcies Act of 2015,2015-04-30,2015-01-12,"Referred to the Subcommittee on Regulatory Reform, Commercial And Antitrust Law."
1157,"A bill to require the Director of the Office of Management and Budget to consider Brunswick County, North Carolina to be part of the same metropolitan statistical area as Wilmington, North Carolina.",2015-04-30,2015-04-30,Referred to the House Committee on Oversight and Government Reform.
1158,Consumer Privacy Protection Act of 2015,2015-04-30,2015-04-30,Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S2577-2578)
1159,Public Good IRA Rollover Act of 2015,2015-04-30,2016-05-06,Referred to the House Committee on Ways and Means.
116,Telephone Excise Tax Elimination Act of 2015,2015-01-07,2015-01-07,Read twice and referred to the Committee on Finance.
1160,Public Lands Service Corps Act of 2015,2015-04-30,2015-04-30,Read twice and referred to the Committee on Energy and Natural Resources.
1161,Horse Protection Amendments Act of 2015,2015-04-30,2015-04-30,"Read twice and referred to the Committee on Commerce, Science, and Transportation."
1162,Federal Law Enforcement Self-Defense and Protection Act of 2015,2015-04-30,2016-06-22,Became Public Law No: 114-180.
1163,"S. 1163, Native American Languages Reauthorization Act of 2015",2015-04-30,2015-11-16,Referred to the Subcommittee on Higher Education and Workforce Training.
1164,End Discriminatory State Taxes for Automobile Renters Act of 2015,2015-04-30,2015-04-21,"Referred to the Subcommittee on Regulatory Reform, Commercial And Antitrust Law."
1165,Protecting Students from Worthless Degrees Act,2015-04-30,2015-04-30,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
1166,BUILD Career and Technical Education Act of 2015,2015-04-30,2015-11-16,"Referred to the Subcommittee on Early Childhood, Elementary, and Secondary Education."
1167,Owyhee Wilderness Areas Boundary Modifications Act,2015-04-30,2016-09-06,Placed on Senate Legislative Calendar under General Orders. Calendar No. 588.
1168,Preserving Rehabilitation Innovation Centers Act of 2016,2015-04-30,2015-05-21,Referred to the Subcommittee on Health.
1169,Juvenile Justice and Delinquency Prevention Reauthorization Act of 2015,2015-04-30,2015-12-15,Placed on Senate Legislative Calendar under General Orders. Calendar No. 325.
117,Jerusalem Embassy and Recognition Act of 2015,2015-01-07,2015-01-07,Read twice and referred to the Committee on Foreign Relations.
1170,Breast Cancer Research Stamp Reauthorization Act of 2015,2015-04-30,2015-12-11,Became Public Law No: 114-99.
1171,Seismic Moratorium Act,2015-04-30,2015-04-30,Read twice and referred to the Committee on Energy and Natural Resources.
1172,"S. 1172, Edward âTedâ Kaufman and Michael Leavitt Presidential Transitions Improvements Act of 2015",2015-04-30,2015-07-30,Amendment SA 2543 agreed to in Senate by Unanimous Consent.
1173,Raechel and Jacqueline Houck Safe Rental Car Act of 2015,2015-04-30,2015-05-08,"Referred to the Subcommittee on Commerce, Manufacturing, and Trade."
1174,Teller All Gone Horseracing Deregulation Act of 2015,2015-04-30,2015-05-01,"Referred to the Subcommittee on Commerce, Manufacturing, and Trade."
1175,Hazardous Materials Rail Transportation Safety Improvement Act of 2015,2015-04-30,2016-07-14,"Referred to the Subcommittee on Railroads, Pipelines, and Hazardous Materials."
1176,EMPOWER Act of 2015,2015-04-30,2015-01-21,"Referred to the Committee on House Administration, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
1177,Every Student Succeeds Act,2015-04-30,2015-07-16,Amendment SA 2256 agreed to in Senate by Voice Vote.
1178,Defending Rivers from Overreaching Policies Act of 2015,2015-04-30,2015-06-10,Committee on the Judiciary. Hearings held.
1179,AGED Spirits Act,2015-05-04,2015-05-04,Read twice and referred to the Committee on Finance. (Sponsor introductory remarks on measure: CR S2600-2601; text of measure as introduced: CR S2601)
118,Stopping Illegal Obamacare Subsidies Act,2015-01-07,2015-01-07,Read twice and referred to the Committee on Finance.
1180,"S. 1180, Integrated Public Alert and Warning System Modernization Act of 2015",2015-05-04,2016-12-30,"Placed on the Union Calendar, Calendar No. 711."
1181,Energy Technologies Access and Accountability Act,2015-05-04,2015-06-09,Committee on Energy and Natural Resources. Hearings held.
1182,"S. 1182, a bill to exempt application of JSA attribution rule in case of existing agreements",2015-05-04,2015-07-24,Referred to the Subcommittee on Communications and Technology.
1183,STEM Gateways Act,2015-05-04,2015-05-04,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
